Show all houses, 2023-05-23 22:34:27
Search house by id, 2023-05-23 22:34:30
Show all houses from a city, 2023-05-23 22:34:36
Show all owners, 2023-05-23 22:34:41
Rent a car (add a carbooking), 2023-05-23 22:38:44
Show all available cars from the dealership, 2023-05-23 22:40:45
Show all clients, 2023-05-23 22:42:08
Show all available cars from the dealership, 2023-05-23 22:42:59
Add a new car to the dealership, 2023-05-23 22:43:27
Show all available cars from the dealership, 2023-05-23 22:43:30
Show all car bookings, 2023-05-23 22:52:33
Show all car bookings, 2023-05-23 22:53:24
Show all car bookings, 2023-05-23 22:57:09
Show all car bookings, 2023-05-23 22:58:28
